Аня Викторова,Соонун унунорго береке,0,2023-04-09T16:12:05Z,hqqOwntjuoo
Мирлан Тагаев,Бактылуу болгула ИншАллах Бала мощный ырдайт экен жубайыда Ата энен болсо Алхамдулиллах биринчи очредко,0,2023-03-18T04:14:08Z,hqqOwntjuoo
Барчынай Марипжан кызы,Аззаматтар мынча сонунсунар,0,2023-03-08T13:00:53Z,hqqOwntjuoo
Чынара Калыкова,Сонун уй було экен.Бар болгула.👍🙏,0,2023-03-03T09:10:05Z,hqqOwntjuoo
Maksat Beysheev,Каналга кантип подписчик топтодунуз. Монетизацияны коштунарбы ?,0,2023-02-27T14:06:21Z,hqqOwntjuoo
Шайиргул Калыкова,Молодцы бактылуу уй було экен,0,2023-02-26T16:37:16Z,hqqOwntjuoo
Хадижа,Атынар жок,0,2023-02-25T19:47:32Z,hqqOwntjuoo
Bibigulsun Ashimova,Сонун ! Азаматсынар!,0,2023-02-25T17:06:02Z,hqqOwntjuoo
Султан Закиров,👍👍👍👍👍👍,0,2023-02-24T16:19:44Z,hqqOwntjuoo
уланчик,Алимакан еже уй булоонуз аман есен болунуз мен сизди жакшы кором,0,2023-02-24T13:21:12Z,hqqOwntjuoo
Асел Кочкорова,"Молодец,",0,2023-02-24T09:54:36Z,hqqOwntjuoo
Kitepcana Fhdryvf,Азаматтар сонун ырдайт экенсинер.сиздерге Уй булолук Бакыт каалаймын.,1,2023-02-24T08:20:55Z,hqqOwntjuoo
Jgx Vjhch,МАДУМАРОВТОН УРУКСАТ ИШ КЫЛЫШ КЕРЕК ЭКЕНДА Э. ИЧИНКУЙБОСУН ТУУРА ИШ КЫЛДЫ. ЖУМУРТКАДАН КЫР ИЗДЕБЕГИЛЕ ТЫНЧ ЖАШАЙЛЫ ЫНТЫМАКТАШЫП БУ 5 КУНДУК ОМУРДО. БОЛДУЭМИ ЧУКУЛАНБАГЫЛА.ТЫНЧТЫК БОЛСУН.,0,2023-02-24T01:59:28Z,hqqOwntjuoo
Шайыргул Канатбек кызы,мынча соонун,0,2023-02-23T09:40:36Z,hqqOwntjuoo
Kyrgyz Kyrgyzstan,👍👍👍👍👏👏👏,0,2023-02-23T06:19:53Z,hqqOwntjuoo
Айнаш Белекова,"Маш Аллах,Маш Аллах,Маш Аллах
Ушундай уй-булолук Гармония ар бир уйдо болушун Аллах буюрсун🙏🙏🙏",0,2023-02-23T02:59:43Z,hqqOwntjuoo
Улукбек Рахманов,Сонун ырдайт экенсинер,0,2023-02-21T19:43:13Z,hqqOwntjuoo
Нуркыз Кадырова,Маладес,0,2023-02-21T06:19:11Z,hqqOwntjuoo
Гулмира Ходжаева,😊😊👍👍,0,2023-02-21T04:27:19Z,hqqOwntjuoo
Нарын Турганбаев,Бактылуу үйбүлөө намаз окуйт апасы башына оромол салынат өлүштү ойлогула,0,2023-02-21T04:00:08Z,hqqOwntjuoo
Redmi Mi,оронгула конфеттер чымын конбойт чан жукпайт ошондо силерге,0,2023-02-10T22:16:49Z,kMqLNcojR8A
Кайратбек Абдисаматов,Уай копец селую ауу,0,2023-01-07T20:24:07Z,kMqLNcojR8A
Эне Тилеги,Ырахмат садага кыргыз жигиттери мээримдууук Адам герчилик жагынан да биринчи оорунда бар Аман болгула Манас урпактары,0,2023-01-01T18:56:29Z,kMqLNcojR8A
Кыялбек Жээнбеков,Карындаш озунор ушунтим чыгасынар  анан башталат,0,2022-12-31T18:03:43Z,kMqLNcojR8A
Dndb Jddhfh,Сиздей патриот кыздарыбыз көп болсун биз раазыбыз,0,2022-12-31T13:08:58Z,kMqLNcojR8A
Hx Vx,Озун акылдуу болсон биринчи толук Кыргызча суйло андан кийин тошунду Корсун дегендей кылбай жакшынакай эле туруп суйлогун,0,2022-12-31T08:50:55Z,kMqLNcojR8A
